density TrafficLights VirtualTrafficLights VirtualTrafficLights2 MyTrafficController GreedyController
010 0 0 0 0 0
020 0 0 0 0 0
030 0 0 0 0 0
040 0 0 0 0 0
050 0 0 0 0 0
060 0 0 0 0 0
070 0 0 0 0 0
080 1 0 0 0 0
090 1 0 0 0 0
100 1 0 0 0 0
110 2 3 4 0 0
120 3 9 9 0 0
130 5 5 8 0 0
140 4 4 8 0 7
150 5 2 8 0 8
