density TrafficLights VirtualTrafficLights2 MyTrafficController GreedyController
010 23.118755333333333 10.030526333333333 9.889891333333333 9.880497333333333
020 23.277427666666668 10.517642166666667 10.150984666666668 10.113832166666667
030 23.87844877777778 11.367811444444444 10.51020011111111 10.42988911111111
040 24.1348375 12.2891355 10.93970225 10.796130250000001
050 24.518476 13.6979498 11.6973512 11.360243
060 25.324514 15.068108500000001 12.529130666666665 11.927892666666667
070 26.89462604761905 16.55416561904762 13.555353476190476 12.465011476190478
080 28.887523625 18.206922374999998 15.428631750000001 13.290373375
090 36.35773259259259 19.964654120370373 18.23185925925926 14.240536759259259
100 54.623305583333334 22.41896583333333 24.123111958333336 15.275454458333334
110 134.456077020202 27.965330353535354 40.44602702020202 16.60272368686869
120 254.12772930555556 56.561592222222224 114.31065722222222 18.563710138888887
130 NaN NaN NaN NaN
140 NaN NaN NaN NaN
150 NaN NaN NaN NaN
