density TrafficLights VirtualTrafficLights2 MyTrafficController GreedyController
010 12.184086761600543 3.251508236482037 3.113539574463787 3.139866889751009
020 12.18173213136736 3.7028890828714607 3.3392079898430196 3.373074671491163
030 12.802592579383376 4.35741453816211 3.5795582271761726 3.605718802671002
040 12.645128797180565 4.993915240362557 3.8314856914098687 3.8835168574223324
050 12.578260449010914 5.896138434759037 4.307595254669412 4.286013223642832
060 13.199096079786413 6.754225749708999 4.891418712657769 4.74464555729284
070 14.215487835943092 7.586028596395207 5.463495886624631 5.055700748774291
080 15.150999649163655 8.44471942576781 6.535059589479797 5.576897166387981
090 21.781207923315595 9.450987915418407 8.07955387177375 6.288588390455533
100 43.66647548489007 10.923343857997084 11.606756848313083 6.958552965821992
110 123.73611070957122 14.928697231498699 18.273038140816357 7.737530261228448
120 168.1098493377097 38.103863355660664 55.20550262425791 9.516415347258896
130 NaN NaN NaN NaN
140 NaN NaN NaN NaN
150 NaN NaN NaN NaN
